,trialsIdx,conditions,rOri,lOri,xvals,respLoc,accuracy,targetLoc,RT,factor2
2230,188,1,1.0,1.0,0.058382673,2,1,2,0.223142862,0
2231,189,0,1.0,-1.0,0.02,2,0,2,0.190520763,0
2232,190,-1,1.0,1.0,0.034170945,2,0,1,0.418715477,0
2233,191,0,-1.0,-1.0,0.291182282,2,1,1,0.50551486,0
2237,195,1,1.0,1.0,0.058382673,2,1,2,0.252527952,0
2241,199,1,1.0,1.0,0.291182282,2,1,2,0.25189805,0
2244,202,-1,1.0,-1.0,0.170426826,2,1,1,1.270044088,0
2248,206,1,-1.0,-1.0,0.058382673,2,1,1,0.298947811,0
2250,208,1,-1.0,1.0,0.85,2,1,2,0.614986181,0
2254,212,1,-1.0,1.0,0.02,2,1,2,0.201726913,0
2255,213,1,1.0,-1.0,0.02,2,0,2,0.119503498,0
2256,214,0,1.0,-1.0,0.099749555,2,1,1,0.391666651,0
2257,215,1,-1.0,-1.0,0.02,2,0,2,0.262588978,0
2261,219,1,-1.0,1.0,0.497498683,2,1,2,0.296941757,0
2263,221,1,-1.0,-1.0,0.034170945,2,0,2,0.326753855,0
2266,224,1,1.0,1.0,0.85,2,1,2,0.23738575,0
2268,226,1,-1.0,-1.0,0.02,2,1,1,0.550515652,0
2270,228,1,-1.0,1.0,0.099749555,2,1,2,0.150798798,0
2272,230,0,1.0,-1.0,0.099749555,2,0,2,0.407851458,0
2274,232,0,-1.0,-1.0,0.034170945,2,0,2,0.235674858,0
2275,233,1,-1.0,1.0,0.291182282,2,1,2,0.424898863,0
2276,234,1,-1.0,1.0,0.291182282,2,1,2,0.231312037,0
2277,235,1,1.0,1.0,0.497498683,2,0,1,0.365608692,0
2278,236,0,1.0,-1.0,0.291182282,2,0,2,0.303390503,0
2280,238,1,1.0,-1.0,0.291182282,2,1,1,0.353693962,0
2286,244,1,-1.0,-1.0,0.02,2,1,1,0.349024773,0
2287,245,-1,1.0,1.0,0.170426826,2,1,2,0.207399607,0
2290,248,1,1.0,-1.0,0.497498683,2,1,1,0.274630547,0
2292,250,1,1.0,-1.0,0.034170945,2,0,2,0.356641769,0
2293,251,-1,-1.0,1.0,0.034170945,2,0,1,0.386491776,0
2294,252,-1,-1.0,1.0,0.02,2,0,1,0.242516756,0
2295,253,0,-1.0,1.0,0.85,2,1,2,0.27899766,0
2296,254,1,-1.0,1.0,0.497498683,2,0,1,0.261209011,0
2297,255,-1,1.0,-1.0,0.170426826,2,1,1,0.565006733,0
2301,259,0,-1.0,-1.0,0.02,2,1,1,0.36852169,0
2302,260,-1,1.0,1.0,0.291182282,2,1,2,0.458076,0
2304,262,0,-1.0,1.0,0.170426826,2,1,2,0.255555868,0
2310,268,-1,-1.0,1.0,0.034170945,2,1,2,0.542793751,0
2312,270,1,1.0,-1.0,0.170426826,2,1,1,0.259546757,0
2313,271,1,-1.0,1.0,0.497498683,2,1,2,0.255125761,0
2314,272,1,-1.0,1.0,0.058382673,2,0,1,0.310489893,0
2315,273,-1,1.0,-1.0,0.02,2,0,2,0.176980257,0
2320,278,-1,-1.0,-1.0,0.034170945,2,0,2,0.217190027,0
2322,280,-1,-1.0,1.0,0.034170945,2,0,1,0.325748682,0
2323,281,1,1.0,1.0,0.170426826,2,1,2,0.32967186,0
2324,282,-1,1.0,1.0,0.02,2,1,2,0.317389011,0
2330,288,1,1.0,1.0,0.291182282,2,1,2,0.255191803,0
2331,289,1,1.0,-1.0,0.85,2,0,2,0.269604445,0
2332,290,1,-1.0,1.0,0.034170945,2,0,1,0.274288416,0
2333,291,-1,-1.0,1.0,0.497498683,2,1,2,0.681288719,0
2336,294,-1,1.0,-1.0,0.099749555,2,0,2,0.631198168,0
2337,295,1,1.0,1.0,0.170426826,2,1,2,0.433763981,0
2340,298,0,1.0,1.0,0.099749555,2,1,2,0.066236019,0
2343,301,1,-1.0,1.0,0.291182282,2,1,2,0.5011971,0
2345,303,1,-1.0,-1.0,0.058382673,2,1,1,0.350664139,0
2346,304,1,1.0,-1.0,0.85,2,1,1,1.199178696,0
2347,305,1,-1.0,1.0,0.034170945,2,1,2,0.438959837,0
2348,306,1,1.0,1.0,0.02,2,1,2,0.262272596,0
2350,308,1,-1.0,1.0,0.291182282,2,1,2,0.282757998,0
2351,309,1,1.0,-1.0,0.497498683,2,1,1,0.336843252,0
2357,315,1,1.0,1.0,0.85,2,1,2,0.287885904,0
2358,316,-1,1.0,-1.0,0.034170945,2,1,1,0.401800156,0
2360,318,-1,1.0,-1.0,0.497498683,2,1,1,0.5922153,0
2361,319,1,1.0,-1.0,0.099749555,2,1,1,0.383104086,0
2362,320,-1,-1.0,-1.0,0.497498683,2,1,1,0.390732527,0
2365,323,0,1.0,-1.0,0.85,2,1,1,0.369083405,0
2367,325,1,1.0,-1.0,0.034170945,2,1,1,0.307312965,0
2370,328,-1,-1.0,1.0,0.85,2,0,1,0.415004969,0
2371,329,-1,1.0,1.0,0.497498683,2,1,2,0.481333971,0
2372,330,-1,-1.0,1.0,0.058382673,2,1,2,0.771123886,0
2373,331,1,1.0,1.0,0.02,2,0,1,0.290762901,0
2374,332,-1,-1.0,-1.0,0.85,2,1,1,0.395121813,0
2375,333,1,1.0,1.0,0.85,2,1,2,0.291517496,0
2379,337,-1,1.0,-1.0,0.170426826,2,0,2,0.603804827,0
2380,338,1,1.0,1.0,0.85,2,1,2,0.259337902,0
2382,340,1,1.0,1.0,0.058382673,2,0,1,0.38440299,0
